% Training set for NPO SNS Study, September 2015
% Title: NPO tweets / posts training set
% Codes formatted as nominal, numeric values.
% URLs stripped and replaced with binary feature
%
@relation NPO_message_collapse_class

@attribute tweet_text string
@attribute url {0,1}
@attribute category {1,2,3,4,5}

@data
"@A_L_S_O Awesome! Thanks for your support! See you there.",0,4
"@ChiCritMass, thanks for the retweet! Check out our Awesome Non-Profits board, we've added a photo of your org!",1,3
"@NewBalance_CHI is offering 10% off a purchase with donation to the #HaveAHeart breakfast food drive!",1,2
"@PazariLLC  pegged right? (sorry couldn't resist)",0,5
"@SaraVK Thanks for supporting us with your donation at @Roozt! We really appreciate it!",0,4
"@socialgood Please check out our  website for tools on keeping kids safe in cyberspace!",1,3
"200 people protesting Ala immigr and voter ID laws are on 4th day today in marching from Selma to Montgomery.",1,3
"4 Foods High In Vitamin D For Healthier Skin",1,3
"Afterschool programs are a positive way to expand the American dream #ExpandingMinds in #afterschool2013",0,3
"An update from Dave with less than three days left for our independent internship campaign",1,3
"BBB serving Chicago and Northern Illinois welcomes Olympia Moving &amp; Storage, Inc. as our newest BBB Accredited...",1,2
"Black-eyed Susans at North Pond",1,3
"Check out Marlene Gonzalez, President LCG Group, blog!",1,3
"Chicago launches LGBT health action plan – LGBTQ Nation",1,3
"Craig Karahuta just went over the size of AYFs big east region this year! Bigger than ever!",0,4
"don't just know you, know your staff...RT @kenblanchard: What motivates you at work? Here are six possibilities",1,3
"Going to visit new park in the west loop at Adams and Sangamon this afternoon",0,2
"Happy Leap Day! Will you use the extra day to increase your yearly mileage? #runnerds",0,1
"Hopefest is SOLD OUT! See you at the Park West in an hour - Los Lobos, and Rollover w/ Buddy Guy, Eddie Shaw &amp; Todd Park Mohr",0,2
"How did everyone feel about last night's seminar series? We would love to hear your thoughts!",0,1
"July is Elder Abuse Awareness in IL. Elder abuse can affect people of all ethnic backgrounds/social status. Learn more",1,3
"JVS Chicago Launches Career Program for Recent College Students  #Education",1,3
"Learning to Lead -- Promoted to supervisor role? Learn how to transform your employees into a high-performing team",1,2
"Melanie Campbell of @NCBCP: Our youth are our secret weapon. #SOBA12",0,2
"Nature never goes out of style.  ~Author Unknown",0,5
"nice post MK.  RT @maria_kim: today's post is about what you really learn in business school.   #dollarstodumplings",1,3
"Pic says it all, Diane Latiker #CNNheroes  via @twitpic",1,4
"Please join us in congratulating one of our students for being accepted into the Google BOLD internship program! Congratulation Jamese! #edu",0,4
"RT @ccfest: @ScotReDesigned thanks! Big day for us on Wed. Transatlantic Sessions gig @Millennium_Park starts at 6.30, free entry, hope  ...",0,2
"RT @CeaseFire_IL: Chicago Tribune blog highlights that a change in mentality on a personal level is needed to combat violence in society ...",0,3
"RT @EatRight: Happy #RDDay to all the registered #dietitians who make our nation healthier!  #NNM #eatright",0,4
"RT @GTownCupcake: Mini #LavaFudge cupcakes by @GTownCupcake to support @cureepilepsy #WhiteHouseCorrespondentsGardenBrunch ��",1,2
"RT @HendrickInfo:  #JeffGordon participated in pinewood derby today w/some Cubs @AMSupdates. @JeffGordonWeb #NASCAR",1,3
"RT @HopeInstitute: A new information resource for parents of children with developmental disabilities.",1,3
"RT @jamiewo: Great meeting FRI about #empoweringemployment through the empowerment of #women w/ @chicCPA @YWCAChicago. Excited to talk more…",0,2
"RT @mzelma: We have such an amazing community in #latism I know one of you will be a lider next year! #loy12",0,4
"RT @Patty_Mills: #40for40",0,5
"RT @rweingarten:   Important piece in The New Republic examining the root cause of cheating scandals: ",1,3
"RT @teacherinphilly: This is what #phillyeducation teachers (and others) do willingly every day:  @DianeRavitch @AFTu…",1,3
"SAVE THE DATE: Invest for Kids is 11/9/11. #Investable #Ideas #Conference Benefits #Children's #Charities in #Chicago",1,2
"Study: Deep budget pain for human service groups  via @STLtoday",1,3
"Taking Note: Chicago, the Next Anti-Arizona",1,3
"Thanks for the RT! @marine_42 RT @BGCA_Clubs: Are u a @MichaelPhelps fan? Win a copy of his new Michael Phelps: Push the Limit @xbox Kin",0,4
"Thanks so much to Mattersight for dropping off more than 100 baggies of cookies on Friday. We are grateful for your support!",0,4
"The fiscal cliff deal--a decent start for low-income Americans:",1,3
"The voting period for @ChaseGiving starts tomorrow! Check out our cover photo  so you can vote for us! :)",1,1
"thx dan! RT @danedlebeck: @motivatedbycara @chigrrll awesome! more great press...keep it up! only more gr8 PR to come after tomorrow night!",0,4
"Two days till go time!  &lt;&lt; Show your support for the #WalmartStrikers.",1,3
"We will be closed this wk due to the CPS teacher's strike &amp; will reopen either when school is back in session or 9/17 - whichever comes 1st!",0,2
"YOU can help keep kids safe from unsafe products. Consider joining KID's Action Team today",1,1
"Not a runner ?? You can still join the cause to help #endhomelessness ask how you can sign up to volunteer !!",0,1
"I added a video to a @YouTube playlist  Little Brothers promo video for WGN News at 9 pm on 12.24.2012",1,3
"Photos of Yokota Shihan from the 2009 Autumn Seminar are online:...",1,2
"RT @ADCtweets: ADC sends its thoughts and prayers to the victims of theshooting. ADC reiterates that there is no room for hate... http: ...",1,3
"Did you see the latest issue of eFamily? Read Metropolitan's monthly #news here:",1,3
"The May Edition of the E Huddle Newsletter is out!",1,3
"Gong Xi Fa Cai from all at Jones Lang LaSalle! ",1,5
"Real life is not a spy movie. The military cannot threaten that there shall be no survivors. #RulesofWar:",1,5
"The #WalmartStrikers need to know we've got their backs. Show your support today:",1,1
"Among our priorities: expanding access to high-quality #earlychildhood development programs -",1,3
"ATTN VETERANS! Don't forget to register for the 100,000 Jobs Mission Hiring Event taking place on Thursday, July 12.",1,2
"@sievegirl Thanks for the #FF love!",0,4
"Support Team Thresholds or register to walk on Sept. 15 at #NAMIWalks Chicago:",1,1
"RT @LocalDirt: Holidays putting you on a tight budget? Eat Like a Foodie At Home, Without Breaking Your Budget  vi ...",1,3
"Did you lose an ID @ our #GCMChefsBBQ? Come to info table @ Stockton! We have it!",0,5
"We are faxing in our information to the IRS today!!!!",0,4
"RT @izzetasteagents: ...3 Letters Y-U-M ....IZZE Chicago yumuniverse.com Launch Event tonight!!! -GV",0,2
"Snaps to Morgan and Saara!!! DATE DOC IS ALMOST CLOSED SIGN UP BY MIDNIGHT!!",0,1
"RT @CLOCC_Chicago: Congrats to July's #WeAreCLOCC monthly winner, @UrbanInitiative! See their winning photo at .",1,4
"Recent uptick in foreclosures strains court system, @tfeltner tells @DavidLMatthews",1,3
"Come to Ghouls Night Out... A Drag Show Fundraiser for Care for Real Saturday, October 15 from 9:30 pm to 12:30...",1,2
"Attucks uses all classrooms, one for homeless kids; nearly 1 in 10 possible CPS closures in 3rd Ward",1,3
"@iFightHunger Thx for the #FeedbackChallenge tweet!",0,4
"EXCELLENT JOB! Scouts in Charlotte, NC, collected more than 82 tons of food in their Scouting for Food efforts!",1,4
"What are you afraid of, and how are you overcoming that fear? #motivations",0,1
"Bianca: I want my education to put me in a position to better provide for my children and to open doors to new opportunities. #studentstory",0,5
"RT @GirlScoutsEPenn: In the 1920s, the first sale of commercially baked #GirlScoutCookies took place. #WomensHistoryMonth",0,5
"Help students get their voices heard! Join our Action Network and fight for financial aid!  #studentstory",1,1
"RT @NightMinistry: We are very low on travel-size toothpaste and deodorant--full size as well -Call 773-784-9000 if you are interested i ...",0,1
"Join us for the Halloween Bash on October 29th! Buy your tickets now - ",1,2
"The Corner Office Blog RSS | BNET - What Happens When Groupthink Trumps Smart Think?",1,3
"RT @The99Spring: @ChrislHayes had a must-watch segment on #99spring and #directaction on @upwithchris - please RT:",1,3
"B.A.D pulls out a hard-fought win. WCR 180 - B.A.D. 195. It went down to the wire! We're still proud of our All-Stars!!!!",0,4
"Congrats to Houston area Scouts for setting a new world record!  #BSA #BSA100",1,4
"Its really gratifying to look across the office and see that we have a full bay of young designers eager to help nonprofits!",0,4
"RT @KaraBlasquez: It's true, @MsGladysKnight will grace #Chicago w/her presence in support of @ChiUrbanLeague this wknd,  ...",1,2
"Age Of First Menstruation Predicts Cardiovascular Disease Risk",1,3
"Dear Gang of 8: Yes, the Indefinite Detention of Immigrants is Unconstitutional  via @ACLU #latism #CIR2013",1,3
"@LawFirmSearchEn: We're sorry, but the sale was Monday only.",0,2
"Honeybees aren't the only pollinators in danger of #CCD; the rusty patch bumblebee is disappearing:",1,3
"@tomhanks you're truly a STAR! thanks so much for the $10k. @davidaxelrod ready to #slashthestache?  #cure",1,4
"Celebrating 20 years of transforming lives. @motivatedbycara Celebration of Hope Sept.16th @HOBChicago. For more info",1,2
"Read about how the Y and Michelle Obama are partnering to reduce childhood obesity",1,3
"Two months in Paris? Oh, yeah. The Georgia Fee Artist/Writer Residency is now accepting applications. Deadline...",1,2
"At 9:15:40 am, Osvaldo Caballero (41470), 10K, Elapsed Time: 01:04:12, Pace: 10:20, Est. Finish 12:42pm (UNOFFICIAL)",0,5
"Want to learn more about our neighborhood? Check out:",1,2
"Rain gardens are an important way to manage stormwater runoff, improve water quality and enhance the value of...",1,3
"Lonnie Brooks performing! #HW25",1,2
"Perceive the true form of heaven & earth & you will be enlightened on your own true form-M.Ueshiba,#Aikido",1,5
"GFN President Jeff Klein talks to USDA Radio News about the role of food banks in improving food security",1,3
"Making plans for tonight? Join us @undergroundchi for our Flirting for Disaster event 7-10! More info at",1,2
"Ever seen one of these in person? You can if you come to our Gala on September 7th! Thanks to The John and Lisa...",1,2
"RT @lionsclubsorg: [New video] We just uploaded LQ: Lions Quarterly January 2012. Let us know what you think!",1,3
"Lighthouse Trivia…Did you know that in 1955 we opened our doors at 1850 W. Roosevelt, the same location that our main facility stands today?",0,3
"Watch the #BostonMarathon live from 8:30 to 11:30 a.m. Watch on Universal Sports Network or streaming live on .",1,3
"its not too late to join us on the prayer line! 712-432-0800 751973#",0,2
"02/14 5:30pm-7:00 p.m 17 N. State, networking session with park advisory councils Dr. Dan Hibbler, Chief Program Officer CPD will speak",0,2
"Today's the day---eat for change at Chipotle! 50% of proceeds benefit Green City Market!",1,2
"Boy Scouts of America introduces the Search and Rescue Merit Badge! Details:  Photo:",1,3
"RT @PCATennessee: Failure to invest in children is the biggest threat to our national security #PCAAJax",0,3
"Hear what the dueling critics have to say about Steppenwolf's Head of Passes--featuring not one, not two, but...",1,3
"RT @Ntl_Homeless: Youth Membership Matters at NCH b/c homelessness won’t end until every generation is involved!",1,3
"Join us tonight for Soul of Money with bestselling author Lynn Twist and begin to think financially free.",0,2
"Report: 1/3 of Illinoisans In or Near Poverty  via @WSIURadio, @IMPACTHeartland",1,3
"#Walmart is learning the hard way that good service and good wages go hand in hand.  #1u #p2 @changewalmart",1,3
"Roller Derby Bout with @chicagooutfit Saturday at 7pm, proceeds benefit Heartland Alliance, buy tickets now! Join us!",1,2
"2012 Travel Bout Results - WCR Second Wind 171, NRG Warning Belles 79:  #rollerderby",1,3
"MT @hungernomore: 10 Things You Need To Know About Hunger In 2013:",1,3
"Most read on @ABAJournal: Lawyers Spot Justin Bieber on Flight, But Didn’t Recognize Justice Stevens",1,3
"Thx! RT @rachelsimon #FF @lucyglashover @lrwunsch @Daroff @JCFSChicago @JFSSD @davefeinman @CrytzerFry @CLOISH @Tonyanator @Futurewriter13",0,4
"Rally outside #CPS tomorrow AM as the board of ed decides the fate of 53 schools set to be closed: 125 S. Clark. No #CPSclosings!",0,2
"We'd love to see the analysis MT: Nothing more fun than spending Wed analyzing rhetoric of Slow Food mvm't @Tweet__Caroline",0,3
"RT @ChicagoNShore: Teach Kids to EAT & COOK HEALTHY! Kids, Teen Summer Camp Classes, Viking Cooking School. Cooking is ART! Glenview htt ...",0,2
"Seguin for 2nd overall! #superweek 3s!",1,2
"NP- Sterotypes by Bigg Kenn feat Alpha Malik log on to  or download the iheartradio app on your phone!! !",1,2
"looking forward to @ImermanAngels and @ChicagoNP for a photo shoot this afternoon",0,2
"@codocmanifesto @SidMohn TONIGHT March 31st",0,2
"Texas A&amp;M University Student Body President John Claybrook vetos bill to defund #LGBT center:  #HigherEd",1,3
"Happening this weekend If you got the talent and the heart we got the space 773-881-8120. Must…",1,2
"Join us for speakOUT - The State of Civil Union, Thursday at 6:30pm. Sponsored by the Chicago Public Library.",1,2
"RT @GreatNonprofits: Want to find ways to give back this #GivingTuesday? Find great local nonprofits by zip code! #GiveBack  ...",1,2
"Mujeres de HACE - Chicago &amp; Houston, - Sembrando el Futuro - Upcoming 30th Anniversary Benefit, Job Opportunities!!",1,2
