PRP$,VBG,VBD,VB,",",'',VBP,VBN,JJ,WP,VBZ,DT,#,RP,$,NN,POS,.,TO,PRP,RB,:,NNS,NNP,``,WRB,CC,PDT,RBS,RBR,CD,-NONE-,EX,IN,WP$,MD,NNPS,JJS,JJR,WDT
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2,0,1,0,2,1,0,0,0,0,1,2,0,0,0,4,1,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,1,2,1,0,0,6,1,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,3,1,0,0,3,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,3,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,4,0,1,1,0,0,0,2,4,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,2,0,0,2,2,0,0,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0
1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,9,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,4,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,0,0,0,1,0,3,0,1,1,0,0,0,0,0,3,1,1,0,2,2,3,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,4,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,0,1,0,0,1,0,3,0,0,1,1,0,0,2,1,2,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,1,0,1,2,0,0,0,1,1,1,0,1,0,2,0,16,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
1,0,1,2,0,1,0,0,2,0,0,0,0,0,0,5,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,2,1,2,0,0,1,0,1,6,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,1,0,0,2,0,0,1,0,0,0,3,0,1,3,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
